TransactionID,CustomerID,Date,ProductID,Price,Qty,TotalAmount,StoreID,Age,Gender,Marital Status,Income,StoreName,GroupStore,Type,Latitude,Longitude,Product Name
TR11369,328,2022-01-01,P3,7500,4,30000,12,36,0,Married,10.53,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,Crackers
TR16356,165,2022-01-01,P9,10000,7,70000,1,44,1,Married,14.58,Prima Tendean,Prima,Modern Trade,-6.2,106.816666,Yoghurt
TR1984,183,2022-01-01,P1,8800,4,35200,4,27,1,Single,0.18,Gita Ginara,Gita,General Trade,-6.966667,110.416664,Choco Bar
TR35256,160,2022-01-01,P1,8800,7,61600,4,48,1,Married,12.57,Gita Ginara,Gita,General Trade,-6.966667,110.416664,Choco Bar
TR41231,386,2022-01-01,P9,10000,1,10000,4,33,0,Married,6.95,Gita Ginara,Gita,General Trade,-6.966667,110.416664,Yoghurt
TR51675,283,2022-01-01,P10,15000,1,15000,5,19,1,Single,0.0,Bonafid,Gita,General Trade,-7.250445,112.768845,Cheese Stick
TR54287,51,2022-01-01,P8,16000,2,32000,2,36,0,Married,7.95,Prima Kelapa Dua,Prima,Modern Trade,-6.914864,107.608238,Oat
TR67455,49,2022-01-01,P5,4200,3,12600,13,44,1,Married,13.48,Buana,Buana,General Trade,-1.26916,116.825264,Thai Tea
TR73041,222,2022-01-01,P9,10000,6,60000,4,45,0,Married,15.03,Gita Ginara,Gita,General Trade,-6.966667,110.416664,Yoghurt
TR7596,270,2022-01-01,P7,9400,2,18800,14,49,1,Married,8.81,Priangan,Priangan,Modern Trade,-5.45,105.26667,Coffee Candy
TR76340,287,2022-01-01,P4,12000,4,48000,12,36,0,Single,3.7,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,Potato Chip
TR97336,233,2022-01-01,P7,9400,2,18800,12,43,1,Married,5.69,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,Coffee Candy
TR99839,123,2022-01-01,P2,3200,6,19200,1,34,0,Married,4.36,Prima Tendean,Prima,Modern Trade,-6.2,106.816666,Ginger Candy 
TR14355,203,2022-01-02,P3,7500,4,30000,10,53,0,Married,17.2,Harapan Baru,Harapan Baru,General Trade,3.597031,98.678513,Crackers
TR16534,421,2022-01-02,P3,7500,2,15000,14,35,0,Married,9.01,Priangan,Priangan,Modern Trade,-5.45,105.26667,Crackers
TR2045,32,2022-01-02,P7,9400,4,37600,5,34,0,Married,10.96,Bonafid,Gita,General Trade,-7.250445,112.768845,Coffee Candy
TR20925,159,2022-01-02,P10,15000,2,30000,13,53,1,Married,13.65,Buana,Buana,General Trade,-1.26916,116.825264,Cheese Stick
TR26678,321,2022-01-02,P6,18000,3,54000,12,45,0,Married,8.03,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,Cashew
TR29436,335,2022-01-02,P6,18000,3,54000,3,29,1,Single,4.74,Prima Kota,Prima,Modern Trade,-7.797068,110.370529,Cashew
TR30993,14,2022-01-02,P10,15000,2,30000,6,58,1,Married,10.18,Lingga,Lingga,Modern Trade,-5.135399,119.42379,Cheese Stick
TR33449,18,2022-01-02,P6,18000,2,36000,9,47,0,Married,13.6,Lingga,Lingga,Modern Trade,-3.654703,128.190643,Cashew
TR34291,333,2022-01-02,P7,9400,2,18800,7,47,0,Married,17.99,Buana Indah,Buana,General Trade,3.316694,114.590111,Coffee Candy
TR3533,24,2022-01-02,P6,18000,3,54000,10,37,0,Married,9.53,Harapan Baru,Harapan Baru,General Trade,3.597031,98.678513,Cashew
TR46701,48,2022-01-02,P2,3200,6,19200,9,32,0,Married,10.62,Lingga,Lingga,Modern Trade,-3.654703,128.190643,Ginger Candy 
TR48742,87,2022-01-02,P5,4200,2,8400,3,44,1,Married,9.57,Prima Kota,Prima,Modern Trade,-7.797068,110.370529,Thai Tea
TR63499,118,2022-01-02,P1,8800,7,61600,14,20,1,Single,3.28,Priangan,Priangan,Modern Trade,-5.45,105.26667,Choco Bar
TR66576,250,2022-01-02,P7,9400,5,47000,5,30,1,Married,3.96,Bonafid,Gita,General Trade,-7.250445,112.768845,Coffee Candy
TR7826,181,2022-01-02,P1,8800,10,88000,12,33,1,Married,9.94,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,Choco Bar
TR93759,34,2022-01-02,P10,15000,2,30000,4,45,0,Married,6.36,Gita Ginara,Gita,General Trade,-6.966667,110.416664,Cheese Stick
TR10346,322,2022-01-03,P3,7500,4,30000,4,41,0,Married,20.01,Gita Ginara,Gita,General Trade,-6.966667,110.416664,Crackers
TR13,285,2022-01-03,P8,16000,1,16000,6,20,0,Single,0.0,Lingga,Lingga,Modern Trade,-5.135399,119.42379,Oat
TR15573,91,2022-01-03,P2,3200,6,19200,13,59,0,Married,9.85,Buana,Buana,General Trade,-1.26916,116.825264,Ginger Candy 
TR21783,78,2022-01-03,P5,4200,5,21000,10,41,1,Married,10.34,Harapan Baru,Harapan Baru,General Trade,3.597031,98.678513,Thai Tea
TR25759,218,2022-01-03,P5,4200,4,16800,14,29,0,Married,3.52,Priangan,Priangan,Modern Trade,-5.45,105.26667,Thai Tea
TR26782,237,2022-01-03,P10,15000,4,60000,7,35,1,Married,8.14,Buana Indah,Buana,General Trade,3.316694,114.590111,Cheese Stick
TR27698,178,2022-01-03,P6,18000,3,54000,8,43,0,Married,9.58,Sinar Harapan,Harapan Baru,General Trade,5.54829,95.323753,Cashew
TR31585,144,2022-01-03,P2,3200,3,9600,6,34,0,Married,10.01,Lingga,Lingga,Modern Trade,-5.135399,119.42379,Ginger Candy 
TR36491,117,2022-01-03,P3,7500,4,30000,12,45,1,Married,12.55,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,Crackers
TR36846,159,2022-01-03,P9,10000,2,20000,7,53,1,Married,13.65,Buana Indah,Buana,General Trade,3.316694,114.590111,Yoghurt
TR40890,224,2022-01-03,P6,18000,3,54000,14,29,0,Married,3.31,Priangan,Priangan,Modern Trade,-5.45,105.26667,Cashew
TR45933,406,2022-01-03,P4,12000,2,24000,8,38,1,Married,8.64,Sinar Harapan,Harapan Baru,General Trade,5.54829,95.323753,Potato Chip
TR45980,7,2022-01-03,P3,7500,3,22500,7,31,0,Married,4.57,Buana Indah,Buana,General Trade,3.316694,114.590111,Crackers
TR46171,21,2022-01-03,P10,15000,3,45000,10,52,0,Married,12.72,Harapan Baru,Harapan Baru,General Trade,3.597031,98.678513,Cheese Stick
TR54686,106,2022-01-03,P2,3200,5,16000,10,24,0,Single,6.79,Harapan Baru,Harapan Baru,General Trade,3.597031,98.678513,Ginger Candy 
TR74189,202,2022-01-03,P7,9400,3,28200,10,28,0,Married,4.53,Harapan Baru,Harapan Baru,General Trade,3.597031,98.678513,Coffee Candy
TR86483,45,2022-01-03,P8,16000,3,48000,12,53,0,Married,9.25,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,Oat
TR9341,202,2022-01-03,P7,9400,5,47000,14,28,0,Married,4.53,Priangan,Priangan,Modern Trade,-5.45,105.26667,Coffee Candy
TR14593,311,2022-01-04,P6,18000,4,72000,9,61,1,Married,7.64,Lingga,Lingga,Modern Trade,-3.654703,128.190643,Cashew
TR14970,136,2022-01-04,P10,15000,1,15000,6,28,1,Married,2.96,Lingga,Lingga,Modern Trade,-5.135399,119.42379,Cheese Stick
TR2102,23,2022-01-04,P5,4200,4,16800,14,57,1,Married,12.56,Priangan,Priangan,Modern Trade,-5.45,105.26667,Thai Tea
TR22313,194,2022-01-04,P2,3200,4,12800,2,31,1,Married,4.33,Prima Kelapa Dua,Prima,Modern Trade,-6.914864,107.608238,Ginger Candy 
TR37381,243,2022-01-04,P10,15000,2,30000,7,38,0,Married,3.34,Buana Indah,Buana,General Trade,3.316694,114.590111,Cheese Stick
TR41140,78,2022-01-04,P9,10000,2,20000,14,41,1,Married,10.34,Priangan,Priangan,Modern Trade,-5.45,105.26667,Yoghurt
TR45300,351,2022-01-04,P6,18000,4,72000,11,45,1,Married,18.34,Sinar Harapan,Prestasi,General Trade,0.533505,101.447403,Cashew
TR48461,117,2022-01-04,P5,4200,2,8400,1,45,1,Married,12.55,Prima Tendean,Prima,Modern Trade,-6.2,106.816666,Thai Tea
TR49210,189,2022-01-04,P4,12000,1,12000,7,59,1,Single,5.15,Buana Indah,Buana,General Trade,3.316694,114.590111,Potato Chip
TR50516,304,2022-01-04,P10,15000,2,30000,1,34,0,Single,8.55,Prima Tendean,Prima,Modern Trade,-6.2,106.816666,Cheese Stick
TR51256,433,2022-01-04,P9,10000,1,10000,4,48,1,Married,11.97,Gita Ginara,Gita,General Trade,-6.966667,110.416664,Yoghurt
TR57427,157,2022-01-04,P5,4200,3,12600,5,44,0,Single,2.52,Bonafid,Gita,General Trade,-7.250445,112.768845,Thai Tea
TR64821,117,2022-01-04,P3,7500,1,7500,2,45,1,Married,12.55,Prima Kelapa Dua,Prima,Modern Trade,-6.914864,107.608238,Crackers
TR68280,36,2022-01-04,P8,16000,1,16000,12,32,1,Married,10.4,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,Oat
TR86686,403,2022-01-04,P5,4200,2,8400,1,30,0,Married,4.06,Prima Tendean,Prima,Modern Trade,-6.2,106.816666,Thai Tea
TR88044,62,2022-01-04,P5,4200,5,21000,1,51,1,Married,13.62,Prima Tendean,Prima,Modern Trade,-6.2,106.816666,Thai Tea
TR90452,440,2022-01-04,P2,3200,5,16000,11,40,0,Married,3.47,Sinar Harapan,Prestasi,General Trade,0.533505,101.447403,Ginger Candy 
TR98969,355,2022-01-04,P8,16000,1,16000,4,19,1,Single,0.0,Gita Ginara,Gita,General Trade,-6.966667,110.416664,Oat
TR10602,22,2022-01-05,P5,4200,3,12600,11,34,0,Single,9.91,Sinar Harapan,Prestasi,General Trade,0.533505,101.447403,Thai Tea
TR24114,182,2022-01-05,P8,16000,1,16000,4,44,1,Married,14.57,Gita Ginara,Gita,General Trade,-6.966667,110.416664,Oat
TR35280,167,2022-01-05,P9,10000,1,10000,2,28,1,Married,2.91,Prima Kelapa Dua,Prima,Modern Trade,-6.914864,107.608238,Yoghurt
TR36079,297,2022-01-05,P5,4200,4,16800,11,41,1,Married,12.13,Sinar Harapan,Prestasi,General Trade,0.533505,101.447403,Thai Tea
TR46041,7,2022-01-05,P9,10000,5,50000,8,31,0,Married,4.57,Sinar Harapan,Harapan Baru,General Trade,5.54829,95.323753,Yoghurt
TR60242,304,2022-01-05,P4,12000,1,12000,13,34,0,Single,8.55,Buana,Buana,General Trade,-1.26916,116.825264,Potato Chip
TR61100,278,2022-01-05,P8,16000,2,32000,2,31,1,Married,9.76,Prima Kelapa Dua,Prima,Modern Trade,-6.914864,107.608238,Oat
TR61437,123,2022-01-05,P1,8800,4,35200,6,34,0,Married,4.36,Lingga,Lingga,Modern Trade,-5.135399,119.42379,Choco Bar
TR84132,22,2022-01-05,P9,10000,7,70000,14,34,0,Single,9.91,Priangan,Priangan,Modern Trade,-5.45,105.26667,Yoghurt
TR11638,67,2022-01-06,P2,3200,5,16000,12,19,0,Single,0.0,Prestasi Utama,Prestasi,General Trade,-2.990934,104.756554,Ginger Candy 
TR20374,282,2022-01-06,P2,3200,5,16000,3,55,0,Married,11.38,Prima Kota,Prima,Modern Trade,-7.797068,110.370529,Ginger Candy 
TR23183,84,2022-01-06,P4,12000,4,48000,9,54,0,Married,18.12,Lingga,Lingga,Modern Trade,-3.654703,128.190643,Potato Chip
TR24126,30,2022-01-06,P2,3200,3,9600,3,37,1,Single,2.26,Prima Kota,Prima,Modern Trade,-7.797068,110.370529,Ginger Candy 
TR32850,306,2022-01-06,P2,3200,3,9600,6,49,0,Married,16.52,Lingga,Lingga,Modern Trade,-5.135399,119.42379,Ginger Candy 
TR40523,176,2022-01-06,P3,7500,4,30000,2,54,1,Married,18.32,Prima Kelapa Dua,Prima,Modern Trade,-6.914864,107.608238,Crackers
TR41572,366,2022-01-06,P6,18000,3,54000,3,18,0,Single,0.0,Prima Kota,Prima,Modern Trade,-7.797068,110.370529,Cashew
TR45142,438,2022-01-06,P10,15000,4,60000,10,36,1,Single,5.43,Harapan Baru,Harapan Baru,General Trade,3.597031,98.678513,Cheese Stick
TR73860,71,2022-01-06,P4,12000,4,48000,1,46,0,Married,12.42,Prima Tendean,Prima,Modern Trade,-6.2,106.816666,Potato Chip
TR74469,340,2022-01-06,P5,4200,4,16800,4,41,0,Single,10.9,Gita Ginara,Gita,General Trade,-6.966667,110.416664,Thai Tea
TR77963,116,2022-01-06,P3,7500,2,15000,7,51,1,Married,15.77,Buana Indah,Buana,General Trade,3.316694,114.590111,Crackers
TR81478,20,2022-01-06,P5,4200,4,16800,8,43,0,Married,18.91,Sinar Harapan,Harapan Baru,General Trade,5.54829,95.323753,Thai Tea
TR83042,102,2022-01-06,P2,3200,6,19200,10,39,0,Married,6.44,Harapan Baru,Harapan Baru,General Trade,3.597031,98.678513,Ginger Candy 
TR87914,161,2022-01-06,P5,4200,4,16800,9,41,0,Married,20.02,Lingga,Lingga,Modern Trade,-3.654703,128.190643,Thai Tea
TR92298,266,2022-01-06,P2,3200,6,19200,2,72,1,Married,4.72,Prima Kelapa Dua,Prima,Modern Trade,-6.914864,107.608238,Ginger Candy 
TR95272,84,2022-01-06,P7,9400,3,28200,8,54,0,Married,18.12,Sinar Harapan,Harapan Baru,General Trade,5.54829,95.323753,Coffee Candy
TR96723,240,2022-01-06,P5,4200,4,16800,14,22,1,Single,3.33,Priangan,Priangan,Modern Trade,-5.45,105.26667,Thai Tea
TR97562,264,2022-01-06,P5,4200,3,12600,14,21,1,Single,1.12,Priangan,Priangan,Modern Trade,-5.45,105.26667,Thai Tea
TR22660,43,2022-01-07,P5,4200,3,12600,13,53,0,Married,16.64,Buana,Buana,General Trade,-1.26916,116.825264,Thai Tea
